Average AUC,Average AUC Features,DT AUC,DT AUC Features,RFW AUC,RFW AUC Features,NAIVE BAYES AUC,NAIVE BAYES Features,KNN AUC,KNN Features,LOGISTIC REGRESSION AUC,LOGISTIC REGRESSION Features
0.7928571428571429,"['nof_HBA', 'molLogP\n']",0.8571428571428571,"['nof_HBA', 'molLogP\n']",0.9285714285714286,"['molPSA', 'molLogP\n']",0.7857142857142857,"['molVolume', 'molWeight\n']",0.8214285714285714,"['nof_HBA', 'molLogP\n']",0.7857142857142857,"['Complexity', 'molVolume\n']"
0.7785714285714287,"['molArea', 'molLogP\n']",0.8571428571428571,"['Complexity', 'molArea\n']",0.9285714285714286,"['nof_HBA', 'molLogP\n']",0.7857142857142857,"['molArea', 'molWeight\n']",0.8214285714285714,"['nof_HBA', 'PSA/Area\n']",0.75,"['molLogS', 'molWeight\n']"
0.7785714285714286,"['a_heavy', 'nof_HBA\n']",0.8571428571428571,"['Complexity', 'nof_HBA\n']",0.9285714285714286,"['nof_posCharge', 'molLogP\n']",0.7857142857142857,"['molArea', 'molPSA\n']",0.8214285714285714,"['Complexity', 'molPSA\n']",0.75,"['molPSA', 'molWeight\n']"
0.7785714285714285,"['nof_HBA', 'molLogS\n']",0.8214285714285714,"['molPSA', 'molLogP\n']",0.9285714285714286,"['negCharge/Volume', 'molWeight\n']",0.7857142857142857,"['PSA/Area', 'molPSA\n']",0.8214285714285714,"['nof_RotB', 'C_R0\n']",0.75,"['molPSA', 'molVolume\n']"
0.7714285714285715,"['nof_HBA', 'molArea\n']",0.8214285714285714,"['molArea', 'molLogP\n']",0.8928571428571429,"['molLogP', 'molWeight\n']",0.7857142857142857,"['nof_HBA', 'molVolume\n']",0.7857142857142857,"['molPSA', 'molVolume\n']",0.75,"['molArea', 'molPSA\n']"
0.7714285714285715,"['nof_HBA', 'PSA/Area\n']",0.8214285714285714,"['nof_HBA', 'molLogS\n']",0.8928571428571429,"['molLogP', 'molVolume\n']",0.7857142857142857,"['nof_HBD', 'PSA/Area\n']",0.7857142857142857,"['molArea', 'molWeight\n']",0.75,"['PSA/Area', 'molWeight\n']"
0.7642857142857142,"['Complexity', 'nof_HBA\n']",0.8214285714285714,"['molCharge_total', 'PSA/Area\n']",0.8928571428571429,"['molArea', 'molLogP\n']",0.7857142857142857,"['molCharge_total', 'PSA/Area\n']",0.7857142857142857,"['molArea', 'molLogP\n']",0.75,"['PSA/Area', 'molVolume\n']"
0.7571428571428571,"['molLogP', 'molVolume\n']",0.8214285714285714,"['Complexity', 'nof_Atoms\n']",0.8928571428571429,"['PSA/Area', 'molLogS\n']",0.7857142857142857,"['a_heavy', 'molPSA\n']",0.7857142857142857,"['molArea', 'molLogS\n']",0.75,"['nof_Atoms', 'molPSA\n']"
0.7571428571428571,"['Complexity', 'molLogS\n']",0.8214285714285714,"['nof_negCharge', 'PSA/Area\n']",0.8928571428571429,"['PSA/Area', 'molPSA\n']",0.75,"['molLogS', 'molWeight\n']",0.7857142857142857,"['PSA/Area', 'molArea\n']",0.75,"['nof_HBA', 'molLogS\n']"
0.7571428571428571,"['Complexity', 'molArea\n']",0.8214285714285714,"['negCharge/Volume', 'Complexity\n']",0.8928571428571429,"['nof_Chirals', 'molLogP\n']",0.75,"['molLogS', 'molVolume\n']",0.7857142857142857,"['nof_Atoms', 'molArea\n']",0.75,"['nof_Rings', 'molPSA\n']"
0.7571428571428571,"['nof_negCharge', 'PSA/Area\n']",0.8214285714285714,"['nof_Fragments', 'Complexity\n']",0.8928571428571429,"['nof_HBA', 'molArea\n']",0.75,"['molLogS', 'molLogP\n']",0.7857142857142857,"['nof_Chirals', 'molArea\n']",0.75,"['nof_posCharge', 'molArea\n']"
0.75,"['molLogP', 'molWeight\n']",0.7857142857142857,"['molLogP', 'molWeight\n']",0.8928571428571429,"['nof_HBA', 'PSA/Area\n']",0.75,"['molPSA', 'molVolume\n']",0.7857142857142857,"['nof_HBA', 'molLogS\n']",0.75,"['nof_negCharge', 'PSA/Area\n']"
0.75,"['molPSA', 'molVolume\n']",0.7857142857142857,"['molLogP', 'molVolume\n']",0.8928571428571429,"['molCharge_total', 'molPSA\n']",0.75,"['molArea', 'molLogS\n']",0.7857142857142857,"['nof_HBA', 'molArea\n']",0.75,"['a_heavy', 'molPSA\n']"
0.75,"['molCharge_total', 'PSA/Area\n']",0.7857142857142857,"['PSA/Area', 'molPSA\n']",0.8928571428571429,"['molCharge_total', 'molArea\n']",0.75,"['PSA/Area', 'molLogP\n']",0.7857142857142857,"['nof_HBD', 'molArea\n']",0.75,"['a_heavy', 'nof_HBA\n']"
0.75,"['nof_RotB', 'molLogP\n']",0.7857142857142857,"['nof_Atoms', 'PSA/Area\n']",0.8928571428571429,"['nof_Rings', 'molArea\n']",0.75,"['nof_HBA', 'molArea\n']",0.7857142857142857,"['nof_HBD', 'PSA/Area\n']",0.75,"['C_R0', 'nof_Atoms\n']"
0.7428571428571429,"['molArea', 'molPSA\n']",0.7857142857142857,"['nof_HBA', 'PSA/Area\n']",0.8928571428571429,"['Complexity', 'nof_HBA\n']",0.75,"['nof_HBA', 'PSA/Area\n']",0.7857142857142857,"['molCharge_total', 'molArea\n']",0.75,"['posCharge/Volume', 'PSA/Area\n']"
0.7428571428571429,"['nof_HBD', 'molArea\n']",0.7857142857142857,"['nof_posCharge', 'Complexity\n']",0.8928571428571429,"['nof_posCharge', 'molPSA\n']",0.75,"['nof_HBA', 'nof_Atoms\n']",0.7857142857142857,"['nof_Rings', 'molArea\n']",0.75,"['negCharge/Volume', 'PSA/Area\n']"
0.7428571428571429,"['Complexity', 'nof_HBD\n']",0.7857142857142857,"['nof_negCharge', 'Complexity\n']",0.8928571428571429,"['nof_negCharge', 'molLogS\n']",0.75,"['Complexity', 'molLogS\n']",0.7857142857142857,"['Complexity', 'molWeight\n']",0.75,"['nof_RotB', 'molVolume\n']"
0.7428571428571429,"['a_heavy', 'molLogP\n']",0.7857142857142857,"['a_heavy', 'nof_HBA\n']",0.8928571428571429,"['nof_negCharge', 'molPSA\n']",0.75,"['nof_negCharge', 'PSA/Area\n']",0.7857142857142857,"['Complexity', 'molVolume\n']",0.75,"['nof_RotB', 'nof_HBD\n']"
0.7428571428571429,"['nof_Fragments', 'Complexity\n']",0.7857142857142857,"['a_heavy', 'Complexity\n']",0.8928571428571429,"['a_heavy', 'nof_HBA\n']",0.75,"['a_heavy', 'molWeight\n']",0.7857142857142857,"['Complexity', 'molArea\n']",0.75,"['nof_Fragments', 'molPSA\n']"
0.7357142857142858,"['nof_HBA', 'molVolume\n']",0.7857142857142857,"['C_R1', 'Complexity\n']",0.8928571428571429,"['C_R2', 'molLogP\n']",0.75,"['a_heavy', 'molLogS\n']",0.7857142857142857,"['nof_posCharge', 'molArea\n']",0.75,"['nof_Fragments', 'C_R0\n']"
0.7357142857142858,"['Complexity', 'molLogP\n']",0.7857142857142857,"['C_R1', 'a_heavy\n']",0.8928571428571429,"['C_R2', 'molLogS\n']",0.75,"['C_R0', 'molVolume\n']",0.7857142857142857,"['nof_negCharge', 'molArea\n']",0.7142857142857143,"['molLogP', 'molWeight\n']"
0.7357142857142858,"['Complexity', 'nof_Atoms\n']",0.7857142857142857,"['C_R0', 'Complexity\n']",0.8928571428571429,"['C_R1', 'molLogP\n']",0.75,"['C_R0', 'nof_Atoms\n']",0.7857142857142857,"['a_heavy', 'molArea\n']",0.7142857142857143,"['molPSA', 'molLogS\n']"
0.7357142857142858,"['nof_posCharge', 'molLogP\n']",0.7857142857142857,"['posCharge/Volume', 'molLogS\n']",0.8928571428571429,"['posCharge/Volume', 'molLogP\n']",0.75,"['nof_Fragments', 'nof_HBA\n']",0.7857142857142857,"['C_R2', 'molArea\n']",0.7142857142857143,"['molArea', 'molLogP\n']"
0.7357142857142858,"['nof_negCharge', 'molLogP\n']",0.7857142857142857,"['negCharge/Volume', 'a_heavy\n']",0.8928571428571429,"['posCharge/Volume', 'molLogS\n']",0.75,"['nof_Fragments', 'C_R0\n']",0.7857142857142857,"['C_R2', 'PSA/Area\n']",0.7142857142857143,"['PSA/Area', 'molArea\n']"
0.7357142857142858,"['negCharge/Volume', 'PSA/Area\n']",0.7857142857142857,"['nof_RotB', 'molLogP\n']",0.8928571428571429,"['negCharge/Volume', 'molArea\n']",0.7142857142857143,"['molLogP', 'molWeight\n']",0.7857142857142857,"['C_R1', 'molArea\n']",0.7142857142857143,"['nof_HBA', 'molWeight\n']"
0.7357142857142857,"['a_heavy', 'molArea\n']",0.7857142857142857,"['nof_RotB', 'Complexity\n']",0.8928571428571429,"['negCharge/Volume', 'a_heavy\n']",0.7142857142857143,"['molLogP', 'molVolume\n']",0.7857142857142857,"['C_R0', 'molArea\n']",0.7142857142857143,"['nof_HBA', 'molArea\n']"
0.7357142857142857,"['C_R1', 'molArea\n']",0.7857142857142857,"['nof_Fragments', 'PSA/Area\n']",0.8928571428571429,"['nof_RotB', 'molPSA\n']",0.7142857142857143,"['molPSA', 'molLogP\n']",0.7857142857142857,"['C_R0', 'nof_Rings\n']",0.7142857142857143,"['nof_HBA', 'nof_Atoms\n']"
0.7357142857142857,"['negCharge/Volume', 'molArea\n']",0.75,"['nof_Chirals', 'molLogP\n']",0.8571428571428571,"['molLogS', 'molLogP\n']",0.7142857142857143,"['molArea', 'molVolume\n']",0.7857142857142857,"['C_sp3', 'molArea\n']",0.7142857142857143,"['nof_HBD', 'molWeight\n']"
0.7285714285714286,"['molLogS', 'molLogP\n']",0.75,"['nof_HBD', 'molLogP\n']",0.8571428571428571,"['PSA/Area', 'molLogP\n']",0.7142857142857143,"['PSA/Area', 'molWeight\n']",0.7857142857142857,"['posCharge/Volume', 'molArea\n']",0.7142857142857143,"['nof_HBD', 'molVolume\n']"
0.7285714285714286,"['molPSA', 'molLogP\n']",0.75,"['molCharge_total', 'molLogP\n']",0.8571428571428571,"['nof_HBA', 'molVolume\n']",0.7142857142857143,"['nof_Atoms', 'molLogS\n']",0.7857142857142857,"['posCharge/Volume', 'PSA/Area\n']",0.7142857142857143,"['nof_HBD', 'molArea\n']"
