Average AUC,Average AUC Features,DT AUC,DT AUC Features,RFW AUC,RFW AUC Features,NAIVE BAYES AUC,NAIVE BAYES Features,KNN AUC,KNN Features,LOGISTIC REGRESSION AUC,LOGISTIC REGRESSION Features
0.8357142857142856,"['Complexity', 'molArea', 'molPSA', 'molLogS', 'molVolume\n']",0.9285714285714286,"['C_R0', 'nof_posCharge', 'nof_HBD', 'nof_HBA', 'molLogP\n']",1.0,"['nof_negCharge', 'nof_posCharge', 'nof_Rings', 'nof_HBA', 'molArea\n']",0.8928571428571429,"['C_R0', 'nof_Rings', 'nof_HBA', 'molPSA', 'molVolume\n']",0.8928571428571429,"['nof_negCharge', 'molCharge_total', 'nof_HBA', 'nof_Chirals', 'molLogS\n']",0.8928571428571429,"['nof_HBA', 'molArea', 'molLogS', 'molVolume', 'molWeight\n']"
0.8357142857142856,"['C_R0', 'Complexity', 'molArea', 'molLogS', 'molVolume\n']",0.8928571428571429,"['nof_Rings', 'nof_Atoms', 'PSA/Area', 'molLogP', 'molWeight\n']",1.0,"['posCharge/Volume', 'nof_posCharge', 'molCharge_total', 'nof_HBA', 'molLogS\n']",0.8928571428571429,"['C_R0', 'nof_Rings', 'nof_HBA', 'molArea', 'molPSA\n']",0.8571428571428571,"['molCharge_total', 'nof_HBA', 'nof_Chirals', 'PSA/Area', 'molLogS\n']",0.8928571428571429,"['nof_HBA', 'molArea', 'molLogS', 'molLogP', 'molVolume\n']"
0.8285714285714285,"['Complexity', 'molPSA', 'molLogS', 'molLogP', 'molVolume\n']",0.8928571428571429,"['Complexity', 'molCharge_total', 'nof_Chirals', 'molLogP', 'molVolume\n']",0.9642857142857143,"['molCharge_total', 'nof_HBA', 'nof_Chirals', 'molPSA', 'molLogS\n']",0.8571428571428571,"['nof_HBA', 'molLogS', 'molLogP', 'molVolume', 'molWeight\n']",0.8571428571428571,"['nof_posCharge', 'molCharge_total', 'nof_HBA', 'nof_Chirals', 'molLogS\n']",0.8928571428571429,"['nof_HBA', 'molArea', 'molPSA', 'molLogS', 'molVolume\n']"
0.8285714285714285,"['Complexity', 'molArea', 'molPSA', 'molLogS', 'molLogP\n']",0.8928571428571429,"['Complexity', 'molCharge_total', 'nof_HBA', 'PSA/Area', 'molVolume\n']",0.9642857142857143,"['molCharge_total', 'nof_HBD', 'molArea', 'molLogP', 'molVolume\n']",0.8571428571428571,"['nof_HBA', 'nof_Chirals', 'molLogS', 'molVolume', 'molWeight\n']",0.8571428571428571,"['C_R2', 'nof_HBA', 'PSA/Area', 'molLogS', 'molLogP\n']",0.8928571428571429,"['nof_HBA', 'PSA/Area', 'molArea', 'molLogS', 'molVolume\n']"
0.8285714285714285,"['nof_negCharge', 'Complexity', 'nof_HBA', 'molArea', 'molLogS\n']",0.8928571428571429,"['Complexity', 'molCharge_total', 'nof_HBD', 'molLogP', 'molVolume\n']",0.9642857142857143,"['nof_Rings', 'molCharge_total', 'nof_HBA', 'PSA/Area', 'molArea\n']",0.8571428571428571,"['nof_HBA', 'nof_Chirals', 'molArea', 'molVolume', 'molWeight\n']",0.8571428571428571,"['C_R2', 'molCharge_total', 'nof_HBA', 'nof_Chirals', 'molLogS\n']",0.8928571428571429,"['molCharge_total', 'nof_HBA', 'molArea', 'molLogS', 'molVolume\n']"
0.8214285714285714,"['molPSA', 'molLogS', 'molLogP', 'molVolume', 'molWeight\n']",0.8928571428571429,"['Complexity', 'molCharge_total', 'nof_HBD', 'PSA/Area', 'molVolume\n']",0.9642857142857143,"['nof_posCharge', 'molCharge_total', 'nof_HBA', 'molPSA', 'molLogP\n']",0.8571428571428571,"['nof_HBA', 'nof_Chirals', 'molArea', 'molLogS', 'molWeight\n']",0.8571428571428571,"['C_R2', 'nof_negCharge', 'nof_HBA', 'nof_Chirals', 'molLogS\n']",0.8928571428571429,"['nof_negCharge', 'Complexity', 'molLogS', 'molVolume', 'molWeight\n']"
0.8214285714285714,"['Complexity', 'molArea', 'molLogS', 'molLogP', 'molWeight\n']",0.8928571428571429,"['nof_posCharge', 'molCharge_total', 'nof_HBD', 'nof_HBA', 'molLogP\n']",0.9642857142857143,"['nof_posCharge', 'nof_Rings', 'molCharge_total', 'nof_HBA', 'molArea\n']",0.8571428571428571,"['nof_HBD', 'nof_HBA', 'molLogS', 'molVolume', 'molWeight\n']",0.8571428571428571,"['C_R2', 'nof_negCharge', 'molCharge_total', 'nof_HBA', 'molLogS\n']",0.8928571428571429,"['C_R1', 'nof_HBA', 'molArea', 'molLogS', 'molVolume\n']"
0.8214285714285714,"['Complexity', 'molArea', 'molLogS', 'molLogP', 'molVolume\n']",0.8928571428571429,"['nof_posCharge', 'Complexity', 'nof_HBA', 'molLogS', 'molLogP\n']",0.9642857142857143,"['nof_negCharge', 'molCharge_total', 'nof_HBA', 'molLogS', 'molWeight\n']",0.8571428571428571,"['nof_HBD', 'nof_HBA', 'molArea', 'molLogS', 'molWeight\n']",0.8571428571428571,"['C_R1', 'nof_negCharge', 'nof_posCharge', 'nof_HBA', 'PSA/Area\n']",0.8928571428571429,"['posCharge/Volume', 'nof_HBA', 'molArea', 'molLogS', 'molVolume\n']"
0.8214285714285714,"['Complexity', 'nof_Chirals', 'molPSA', 'molLogP', 'molVolume\n']",0.8928571428571429,"['nof_negCharge', 'Complexity', 'PSA/Area', 'molLogP', 'molVolume\n']",0.9642857142857143,"['nof_negCharge', 'molCharge_total', 'nof_HBA', 'molPSA', 'molLogS\n']",0.8571428571428571,"['nof_HBD', 'nof_HBA', 'nof_Chirals', 'molVolume', 'molWeight\n']",0.8571428571428571,"['C_R1', 'C_R2', 'nof_posCharge', 'nof_HBA', 'PSA/Area\n']",0.8928571428571429,"['negCharge/Volume', 'nof_HBA', 'molArea', 'molLogS', 'molVolume\n']"
0.8214285714285714,"['Complexity', 'nof_HBA', 'molArea', 'molLogP', 'molVolume\n']",0.8928571428571429,"['nof_negCharge', 'Complexity', 'nof_Atoms', 'molLogS', 'molVolume\n']",0.9642857142857143,"['nof_negCharge', 'molCharge_total', 'nof_HBA', 'molArea', 'molLogS\n']",0.8571428571428571,"['nof_HBD', 'nof_HBA', 'nof_Chirals', 'molLogS', 'molWeight\n']",0.8571428571428571,"['C_R1', 'C_R2', 'nof_negCharge', 'nof_HBA', 'PSA/Area\n']",0.8571428571428571,"['Complexity', 'nof_HBA', 'molArea', 'molLogS', 'molVolume\n']"
