| nof_Fragments |    nof_RotB   |negCharge/Volume|posCharge/Volume|     C_sp3     |      C_R0     |      C_R1     |      C_R2     |    a_heavy    | nof_negCharge | nof_posCharge |   Complexity  |   nof_Rings   |molCharge_total|    nof_HBD    |    nof_HBA    |  nof_Chirals  |   nof_Atoms   |    PSA/Area   |    molArea    |     molPSA    |    molLogS    |    molLogP    |   molVolume   |   molWeight   |
====================================================================================================================================================================================================================================================================================================================================================================================================================
|      25.0     |      5.0      |      0.0      |      0.0      |      2.0      |      4.0      |      0.0      |      0.0      |      14.0     |      -1.0     |      0.0      |     209.0     |      1.0      |      -1.0     |      2.0      |      5.0      |      0.0      |      25.0     |   0.24280963  |     218.89    |    53.1486    |    -1.01931   |    0.715357   |    185.823    |    193.074    |
|      32.0     |      3.0      |   0.07344166  |      0.0      |      6.0      |      2.0      |      8.0      |      0.0      |      19.0     |      -1.0     |      1.0      |     484.0     |      2.0      |      0.0      |      2.0      |      9.0      |      3.0      |      32.0     |  0.402975799  |    270.314    |     108.93    |    -2.80704   |   -0.157986   |     271.73    |    267.097    |
|      57.0     |      11.0     |  0.034618127  |  0.006923625  |      9.0      |      8.0      |      5.0      |      1.0      |      34.0     |      -1.0     |      1.0      |     848.0     |      4.0      |      0.0      |      4.0      |      14.0     |      2.0      |      57.0     |  0.287380816  |    502.584    |    144.433    |    -3.42919   |   -0.201409   |    500.521    |    525.104    |
|      54.0     |      9.0      |  0.058111087  |      0.0      |      8.0      |      6.0      |      5.0      |      0.0      |      30.0     |      -2.0     |      0.0      |     614.0     |      3.0      |      -2.0     |      3.0      |      10.0     |      3.0      |      54.0     |  0.189316966  |    454.487    |    86.0421    |    -3.36321   |    1.44648    |    419.279    |    448.113    |
|      31.0     |      3.0      |      0.0      |      0.0      |      3.0      |      4.0      |      0.0      |      0.0      |      17.0     |      -1.0     |      0.0      |     277.0     |      2.0      |      -1.0     |      1.0      |      4.0      |      1.0      |      31.0     |  0.140786266  |     255.13    |    35.9188    |    -3.64663   |    3.15557    |    224.258    |    230.094    |
|      69.0     |      7.0      |      0.0      |      0.0      |      6.0      |      7.0      |      0.0      |      0.0      |      39.0     |      -1.0     |      0.0      |     831.0     |      6.0      |      -1.0     |      1.0      |      5.0      |      0.0      |      69.0     |   0.09179404  |    553.293    |     50.789    |    -8.79024   |    7.50594    |    518.092    |    514.237    |
|      15.0     |      1.0      |      0.0      |      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      10.0     |      -1.0     |      0.0      |     133.0     |      1.0      |      -1.0     |      1.0      |      5.0      |      0.0      |      15.0     |  0.318855651  |     141.74    |    45.1946    |    -1.32798   |    1.25618    |    120.519    |    137.024    |
|      36.0     |      4.0      |  0.017473506  |      0.0      |      1.0      |      2.0      |      2.0      |      0.0      |      25.0     |      -1.0     |      0.0      |     578.0     |      3.0      |      -1.0     |      4.0      |      13.0     |      0.0      |      36.0     |  0.388425854  |    294.674    |    114.459    |    -2.05038   |   -0.269092   |    297.433    |    349.066    |
|      28.0     |      2.0      |  0.009711095  |      0.0      |      2.0      |      1.0      |      1.0      |      0.0      |      20.0     |      0.0      |      0.0      |     571.0     |      2.0      |      0.0      |      4.0      |      10.0     |      1.0      |      28.0     |  0.366382148  |    281.059    |    102.975    |    -4.55218   |    0.772575   |     252.54    |    378.902    |
|      45.0     |      12.0     |  0.049262971  |  0.005473663  |      10.0     |      8.0      |      9.0      |      1.0      |      44.0     |      -1.0     |      0.0      |     1250.0    |      5.0      |      -1.0     |      4.0      |      19.0     |      3.0      |      45.0     |  0.299102005  |    610.805    |    182.693    |    -6.57789   |    -0.31936   |    639.673    |    645.142    |
|      16.0     |      4.0      |  0.021344421  |      0.0      |      3.0      |      3.0      |      2.0      |      0.0      |      16.0     |      0.0      |      1.0      |     308.0     |      2.0      |      1.0      |      4.0      |      6.0      |      0.0      |      16.0     |  0.413885969  |    226.394    |    93.7013    |    -1.78613   |    -1.66662   |    206.629    |    225.086    |
|      36.0     |      4.0      |  0.118536782  |      0.0      |      7.0      |      4.0      |      5.0      |      0.0      |      18.0     |      -1.0     |      0.0      |     494.0     |      2.0      |      -1.0     |      1.0      |      5.0      |      2.0      |      36.0     |   0.14639166  |    288.138    |     42.181    |    -2.25393   |    2.58608    |    254.642    |    246.126    |
